name,y1_points,y2_points,y3_points,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
Tristan Thompson,2391.5,1743.0,1076.5,42.7,40.5,20.7,56.0,43.0,52.0,1.0,0.0,0.0
Troy Brown Jr.,2081.5,735.0,0.0,30.2,14.1,0.0,69.0,52.0,0.0,0.0,0.0,0.0
Troy Daniels,349.5,622.0,1194.0,7.8,12.2,15.1,45.0,51.0,79.0,0.0,0.0,0.0
Ty Jerome,305.5,0.0,0.0,9.9,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Tyler Cook,61.5,0.0,0.0,4.7,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Tyler Herro,1511.5,0.0,0.0,28.0,0.0,0.0,54.0,0.0,0.0,2.0,0.0,0.0
Tyler Johnson,621.5,1564.5,2012.0,16.8,27.4,27.9,37.0,57.0,72.0,0.0,0.0,0.0
Tyrone Wallace,105.0,536.5,749.0,7.5,8.7,25.0,14.0,62.0,30.0,0.0,0.0,0.0
Tyson Chandler,170.0,845.0,1222.5,6.8,15.4,26.6,25.0,55.0,46.0,0.0,0.0,0.0
Tyus Jones,1550.5,1829.0,1504.5,24.6,26.9,18.3,63.0,68.0,82.0,0.0,0.0,0.0
Udonis Haslem,33.0,64.5,33.5,8.2,6.4,2.4,4.0,10.0,14.0,0.0,0.0,0.0
Vic Law,37.5,0.0,0.0,4.7,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Victor Oladipo,559.0,1712.5,4074.0,29.4,47.6,54.3,19.0,36.0,75.0,1.0,0.0,0.0
Vince Carter,725.5,1347.0,908.5,12.3,17.7,15.7,59.0,76.0,58.0,0.0,0.0,0.0
Vincent Poirier,162.0,0.0,0.0,7.4,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,45.5,0.0,0.0,3.2,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Wayne Ellington,404.5,1127.0,1688.5,11.9,21.3,21.9,34.0,53.0,77.0,0.0,0.0,0.0
Wendell Carter Jr.,1589.5,1494.5,0.0,38.8,34.0,0.0,41.0,44.0,0.0,1.0,0.0,0.0
Wenyen Gabriel,205.0,0.0,0.0,7.3,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
Wes Iwundu,788.0,952.0,709.5,15.2,14.0,11.4,52.0,68.0,62.0,0.0,0.0,0.0
Wesley Matthews,1097.0,1773.0,1862.5,16.6,25.7,29.6,66.0,69.0,63.0,0.0,0.0,0.0
Will Barton,2320.5,1219.5,3258.5,41.4,28.4,40.2,56.0,43.0,81.0,0.0,0.0,0.0
William Howard,-1.5,0.0,0.0,-0.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Willie Cauley-Stein,1510.5,3320.0,2821.5,28.0,41.0,38.7,54.0,81.0,73.0,1.0,0.0,0.0
Willy Hernangomez,516.0,1240.5,776.0,17.2,21.4,16.2,30.0,58.0,48.0,0.0,0.0,0.0
Wilson Chandler,546.5,946.5,2063.0,15.6,18.6,27.9,35.0,51.0,74.0,0.0,0.0,0.0
Yogi Ferrell,518.0,1091.5,2026.5,10.8,15.4,24.7,48.0,71.0,82.0,0.0,0.0,0.0
Yuta Watanabe,103.0,99.5,0.0,5.7,6.6,0.0,18.0,15.0,0.0,0.0,0.0,0.0
Zach Collins,202.0,1516.0,834.5,22.4,19.7,12.6,9.0,77.0,66.0,1.0,0.0,0.0
Zach LaVine,2963.0,3044.0,815.5,51.1,48.3,34.0,58.0,63.0,24.0,81.0,0.0,0.0
Zach Norvell Jr.,24.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Zhaire Smith,19.0,97.0,0.0,2.7,16.2,0.0,7.0,6.0,0.0,0.0,0.0,0.0
Zion Williamson,1132.0,0.0,0.0,47.2,0.0,0.0,24.0,0.0,0.0,37.0,0.0,0.0
Zylan Cheatham,37.5,0.0,0.0,9.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
